10/16/2023 11:56,P4,F,9,6,5,2,two-tactor,pull,linear,horizontal,horizontal_pull_two-tactor
10/16/2023 12:02,P4,F,11,6,5,2,two-tactor,pull,zone,horizontal,horizontal_pull_two-tactor
10/16/2023 12:07,P3,F,13,7,6,1,worst-axis,pull,linear,horizontal,horizontal_pull_worst-axis
10/16/2023 12:10,P4,F,15,7,6,1,worst-axis,pull,zone,horizontal,horizontal_pull_worst-axis
10/16/2023 12:16,P4,F,10,5,5,2,two-tactor,pull,zone,vertical,vertical_pull_two-tactor
10/16/2023 12:20,P4,F,8,6,5,2,two-tactor,pull,linear,vertical,vertical_pull_two-tactor
10/16/2023 12:23,P4,F,14,6,6,2,worst-axis,pull,zone,vertical,vertical_pull_worst-axis
10/16/2023 12:24,P4,F,12,7,6,1,worst-axis,pull,linear,vertical,vertical_pull_worst-axis
10/16/2023 12:28,P4,F,6,5,4,2,worst-axis,push,zone,vertical,vertical_push_worst-axis
10/16/2023 12:32,P4,F,4,5,5,3,worst-axis,push,linear,vertical,vertical_push_worst-axis
10/16/2023 12:39,P4,F,2,4,3,4,two-tactor,push,zone,vertical,vertical_push_two-tactor
10/16/2023 12:47,P4,F,0,4,2,4,two-tactor,push,linear,vertical,vertical_push_two-tactor
10/18/2023 11:50,P5,M,0,2,3,5,two-tactor,push,linear,vertical,vertical_push_two-tactor
10/18/2023 11:52,P5,M,2,5,5,4,two-tactor,push,zone,vertical,vertical_push_two-tactor
10/18/2023 11:54,P5,M,4,6,6,2,worst-axis,push,linear,vertical,vertical_push_worst-axis
10/18/2023 11:56,P5,M,6,6,6,2,worst-axis,push,zone,vertical,vertical_push_worst-axis
10/18/2023 11:58,P5,M,12,7,7,1,worst-axis,pull,linear,vertical,vertical_pull_worst-axis
10/18/2023 11:59,P5,M,14,7,7,1,worst-axis,pull,zone,vertical,vertical_pull_worst-axis
10/18/2023 12:01,P5,M,8,6,6,1,two-tactor,pull,linear,vertical,vertical_pull_two-tactor
10/18/2023 12:03,P5,M,10,7,6,1,two-tactor,pull,zone,vertical,vertical_pull_two-tactor
10/18/2023 12:09,P5,M,15,7,7,1,worst-axis,pull,zone,horizontal,horizontal_pull_worst-axis
10/18/2023 12:10,P5,M,13,7,7,1,worst-axis,pull,linear,horizontal,horizontal_pull_worst-axis
10/18/2023 12:13,P5,M,11,6,6,2,two-tactor,pull,zone,horizontal,horizontal_pull_two-tactor
10/18/2023 12:14,P5,M,9,6,6,1,two-tactor,pull,linear,horizontal,horizontal_pull_two-tactor
10/18/2023 12:16,P5,M,3,5,5,2,two-tactor,push,zone,horizontal,horizontal_push_two-tactor
10/18/2023 12:18,P5,M,1,5,5,2,two-tactor,push,linear,horizontal,horizontal_push_two-tactor
10/18/2023 12:19,P5,M,7,6,6,1,worst-axis,push,zone,horizontal,horizontal_push_worst-axis
10/18/2023 12:20,P5,M,5,7,7,1,worst-axis,push,linear,horizontal,horizontal_push_worst-axis
10/19/2023 16:32,P6,M,5,6,5,2,worst-axis,push,linear,horizontal,horizontal_push_worst-axis
10/19/2023 16:35,P6,M,7,7,6,1,worst-axis,push,zone,horizontal,horizontal_push_worst-axis
10/19/2023 16:38,P6,M,1,4,3,3,two-tactor,push,linear,horizontal,horizontal_push_two-tactor
10/19/2023 16:40,P6,M,3,4,4,3,two-tactor,push,zone,horizontal,horizontal_push_two-tactor
10/19/2023 16:43,P6,M,9,5,5,2,two-tactor,pull,linear,horizontal,horizontal_pull_two-tactor
10/19/2023 16:45,P6,M,11,6,6,1,two-tactor,pull,zone,horizontal,horizontal_pull_two-tactor
10/19/2023 16:48,P6,M,13,7,7,1,worst-axis,pull,linear,horizontal,horizontal_pull_worst-axis
10/19/2023 16:50,P6,M,15,7,7,1,worst-axis,pull,zone,horizontal,horizontal_pull_worst-axis
10/19/2023 16:59,P6,M,10,7,7,1,two-tactor,pull,zone,vertical,vertical_pull_two-tactor
10/19/2023 17:00,P6,M,8,7,7,1,two-tactor,pull,linear,vertical,vertical_pull_two-tactor
10/19/2023 17:02,P6,M,14,7,7,1,worst-axis,pull,zone,vertical,vertical_pull_worst-axis
10/19/2023 17:03,P6,M,12,7,7,1,worst-axis,pull,linear,vertical,vertical_pull_worst-axis
10/19/2023 17:05,P6,M,6,5,4,2,worst-axis,push,zone,vertical,vertical_push_worst-axis
10/19/2023 17:09,P6,M,4,6,6,1,worst-axis,push,linear,vertical,vertical_push_worst-axis
10/19/2023 17:13,P6,M,2,3,4,4,two-tactor,push,zone,vertical,vertical_push_two-tactor
10/19/2023 17:18,P6,M,0,5,5,3,two-tactor,push,linear,vertical,vertical_push_two-tactor
10/30/2023 14:24,P7,F,0,2,3,5,two-tactor,push,linear,vertical,vertical_push_two-tactor
10/30/2023 14:33,P7,F,2,3,6,5,two-tactor,push,zone,vertical,vertical_push_two-tactor
10/30/2023 14:39,P7,F,4,5,6,3,worst-axis,push,linear,vertical,vertical_push_worst-axis
10/30/2023 14:40,P7,F,6,6,6,2,worst-axis,push,zone,vertical,vertical_push_worst-axis
10/30/2023 14:42,P7,F,12,6,7,3,worst-axis,pull,linear,vertical,vertical_pull_worst-axis
10/30/2023 14:43,P7,F,14,7,7,2,worst-axis,pull,zone,vertical,vertical_pull_worst-axis
10/30/2023 14:46,P7,F,8,5,6,3,two-tactor,pull,linear,vertical,vertical_pull_two-tactor
10/30/2023 14:51,P7,F,10,2,5,6,two-tactor,pull,zone,vertical,vertical_pull_two-tactor
10/30/2023 14:57,P7,F,15,7,7,1,worst-axis,pull,zone,horizontal,horizontal_pull_worst-axis
10/30/2023 14:58,P7,F,13,6,7,2,worst-axis,pull,linear,horizontal,horizontal_pull_worst-axis
10/30/2023 15:02,P7,F,11,3,5,5,two-tactor,pull,zone,horizontal,horizontal_pull_two-tactor
10/30/2023 15:04,P7,F,9,5,6,4,two-tactor,pull,linear,horizontal,horizontal_pull_two-tactor
10/30/2023 15:05,P7,F,3,5,6,3,two-tactor,push,zone,horizontal,horizontal_push_two-tactor
10/30/2023 15:08,P7,F,1,2,3,5,two-tactor,push,linear,horizontal,horizontal_push_two-tactor
10/30/2023 15:10,P7,F,7,7,6,2,worst-axis,push,zone,horizontal,horizontal_push_worst-axis
10/30/2023 15:11,P7,F,5,7,7,2,worst-axis,push,linear,horizontal,horizontal_push_worst-axis
11/1/2023 15:21,P8,M,5,5,6,2,worst-axis,push,linear,horizontal,horizontal_push_worst-axis
11/1/2023 15:23,P8,M,7,6,6,1,worst-axis,push,zone,horizontal,horizontal_push_worst-axis
11/1/2023 15:25,P8,M,1,4,6,2,two-tactor,push,linear,horizontal,horizontal_push_two-tactor
11/1/2023 15:28,P8,M,3,4,5,3,two-tactor,push,zone,horizontal,horizontal_push_two-tactor
11/1/2023 15:29,P8,M,9,6,6,1,two-tactor,pull,linear,horizontal,horizontal_pull_two-tactor
11/1/2023 15:30,P8,M,11,7,7,1,two-tactor,pull,zone,horizontal,horizontal_pull_two-tactor
11/1/2023 15:32,P8,M,13,6,5,2,worst-axis,pull,linear,horizontal,horizontal_pull_worst-axis
11/1/2023 15:33,P8,M,15,7,7,1,worst-axis,pull,zone,horizontal,horizontal_pull_worst-axis
11/1/2023 15:40,P8,M,10,7,7,1,two-tactor,pull,zone,vertical,vertical_pull_two-tactor
11/1/2023 15:41,P8,M,8,7,7,1,two-tactor,pull,linear,vertical,vertical_pull_two-tactor
11/1/2023 15:42,P8,M,14,7,6,1,worst-axis,pull,zone,vertical,vertical_pull_worst-axis
11/1/2023 15:43,P8,M,12,7,7,1,worst-axis,pull,linear,vertical,vertical_pull_worst-axis
11/1/2023 15:44,P8,M,6,6,5,2,worst-axis,push,zone,vertical,vertical_push_worst-axis
11/1/2023 15:45,P8,M,4,6,6,1,worst-axis,push,linear,vertical,vertical_push_worst-axis
11/1/2023 15:46,P8,M,2,6,5,2,two-tactor,push,zone,vertical,vertical_push_two-tactor
11/1/2023 15:47,P8,M,0,6,5,1,two-tactor,push,linear,vertical,vertical_push_two-tactor
11/2/2023 14:39,P9,M,0,2,2,6,two-tactor,push,linear,vertical,vertical_push_two-tactor
11/2/2023 14:42,P9,M,2,5,4,1,two-tactor,push,zone,vertical,vertical_push_two-tactor
