P2_H,horizontal,push,linear,worst_axis,186.12,8.79,-7.24,56.11
P2_H,horizontal,push,linear,worst_axis,142.68,6.78,0.86,396.29
P2_H,horizontal,push,zone,worst_axis,446.27,8.03,8.66,92.34
P2_H,horizontal,push,zone,worst_axis,142.92,8.42,5.91,314.06
P2_H,horizontal,push,zone,worst_axis,79.0,7.99,2.04,304.38
P2_H,horizontal,push,linear,two_tactor,170.31,7.74,0.7,-95.28
P2_H,horizontal,push,linear,two_tactor,816.27,10.14,0.66,496.52
P2_H,horizontal,push,linear,two_tactor,274.47,9.79,-4.12,345.91
P2_H,horizontal,push,zone,two_tactor,163.92,9.05,-3.84,364.44
P2_H,horizontal,push,zone,two_tactor,291.32,10.73,-2.75,392.41
P2_H,horizontal,push,zone,two_tactor,207.59,10.62,-5.66,210.68
P2_H,horizontal,pull,linear,two_tactor,196.99,9.62,-6.47,575.49
P2_H,horizontal,pull,linear,two_tactor,48.9,8.62,3.86,573.93
P2_H,horizontal,pull,linear,two_tactor,199.83,11.48,0.7,456.12
P2_H,horizontal,pull,zone,two_tactor,1035.16,12.58,1.85,476.98
P2_H,horizontal,pull,zone,two_tactor,270.85,12.12,6.13,477.99
P2_H,horizontal,pull,zone,two_tactor,53.84,12.0,-11.33,746.32
P2_H,horizontal,pull,linear,worst_axis,73.64,10.75,17.18,587.41
P2_H,horizontal,pull,linear,worst_axis,112.51,9.16,1.9,418.21
P2_H,horizontal,pull,linear,worst_axis,149.78,11.65,17.99,665.19
P2_H,horizontal,pull,zone,worst_axis,531.12,13.73,-10.38,669.15
P2_H,horizontal,pull,zone,worst_axis,84.07,12.88,21.23,41.06
P2_H,horizontal,pull,zone,worst_axis,53.87,9.24,4.68,1282.62
P3_H,horizontal,pull,zone,worst_axis,202.56,13.07,-3.88,58.73
P3_H,horizontal,pull,zone,worst_axis,189.66,10.78,-4.82,568.98
P3_H,horizontal,pull,zone,worst_axis,183.57,15.83,13.27,2260.06
P3_H,horizontal,pull,linear,worst_axis,599.06,21.04,-21.84,1650.71
P3_H,horizontal,pull,linear,worst_axis,224.32,15.11,-9.23,957.88
P3_H,horizontal,pull,linear,worst_axis,307.81,12.29,-2.99,844.87
P3_H,horizontal,pull,zone,two_tactor,1629.16,17.11,-4.69,1337.46
P3_H,horizontal,pull,zone,two_tactor,261.66,15.41,-30.77,1228.03
P3_H,horizontal,pull,zone,two_tactor,695.0,14.91,-0.18,1041.13
P3_H,horizontal,pull,linear,two_tactor,370.62,14.54,6.05,1397.04
P3_H,horizontal,pull,linear,two_tactor,329.16,12.69,-5.46,1110.48
P3_H,horizontal,pull,linear,two_tactor,360.6,18.32,-4.28,1545.07
P3_H,horizontal,push,zone,two_tactor,294.49,12.32,-8.44,1013.56
P3_H,horizontal,push,zone,two_tactor,2039.29,15.08,-9.56,1184.57
P3_H,horizontal,push,zone,two_tactor,387.8,17.52,10.01,1217.96
P3_H,horizontal,push,linear,two_tactor,126.72,13.46,-17.68,347.97
P3_H,horizontal,push,linear,two_tactor,252.71,14.01,-2.66,733.49
P3_H,horizontal,push,linear,two_tactor,484.52,10.94,-1.33,772.19
P3_H,horizontal,push,zone,worst_axis,413.32,16.83,-19.81,1588.75
P3_H,horizontal,push,zone,worst_axis,137.6,16.8,-19.49,1370.4
P3_H,horizontal,push,zone,worst_axis,538.28,20.59,-28.08,2690.73
P3_H,horizontal,push,linear,worst_axis,251.32,26.05,-3.67,2565.14
